,name,date,time,genre,imdb,metascore
297,Captain America: Civil War,2016,147,"
Action, Adventure, Sci-Fi            ",7.8,75
298,The Hateful Eight,2015,168,"
Crime, Drama, Mystery            ",7.8,68
299,Loving Vincent,2017,94,"
Animation, Biography, Crime            ",7.8,62
300,Pride,I) (2014,119,"
Biography, Comedy, Drama            ",7.8,79
301,Le passé,2013,130,"
Drama, Mystery            ",7.8,85
302,La grande bellezza,2013,141,"
Drama            ",7.8,86
303,The Lunchbox,2013,104,"
Drama, Romance            ",7.8,76
304,Big Hero 6,2014,102,"
Animation, Action, Adventure            ",7.8,74
305,About Time,I) (2013,123,"
Comedy, Drama, Fantasy            ",7.8,55
306,The Broken Circle Breakdown,2012,111,"
Drama, Music, Romance            ",7.8,70
307,Kaze tachinu,2013,126,"
Animation, Biography, Drama            ",7.8,83
308,Toy Story 4,2019,100,"
Animation, Adventure, Comedy            ",7.8,84
309,La migliore offerta,2013,131,"
Crime, Drama, Mystery            ",7.8,49
310,Moonrise Kingdom,2012,94,"
Comedy, Drama, Romance            ",7.8,84
311,How to Train Your Dragon 2,2014,102,"
Animation, Action, Adventure            ",7.8,76
312,The Big Short,2015,130,"
Biography, Comedy, Drama            ",7.8,81
313,Ang-ma-reul bo-at-da,2010,144,"
Action, Crime, Drama            ",7.8,67
314,The Girl with the Dragon Tattoo,2011,158,"
Crime, Drama, Mystery            ",7.8,71
315,Captain Phillips,2013,134,"
Biography, Crime, Drama            ",7.8,82
